"ID","MS.SubClass","Lot.Frontage","Lot.Area","Alley","Lot.Shape","Land.Contour","House.Style","Overall.Qual","Overall.Cond","Year.Built","Mas.Vnr.Area","Exter.Cond","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating.QC","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.Qual","Functional","Garage.Type","Garage.Cars","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Misc.Feature","Misc.Val","Mo.Sold","Sale.Condition","SalePrice","is.miss.Lot.Frontage","is.miss.Mas.Vnr.Area"
633,20,0,12285,"NA","IR1","Lvl","1Story",7,6,1960,128,"TA",0,785,1329,"Gd",1329,0,0,1329,0,0,1,1,3,"TA","Typ","Attchd",2,"TA","Y",0,0,203,0,0,"NA",0,8,"Normal",17.6,1,0
634,20,66,9240,"NA","IR1","Lvl","1Story",6,8,1959,0,"TA",0,280,988,"TA",988,0,0,988,1,0,2,0,3,"Gd","Typ","Attchd",1,"TA","Y",156,0,0,0,0,"NA",0,6,"Normal",14.95,0,0
635,20,80,9600,"NA","Reg","Lvl","1Story",6,6,1958,183,"TA",620,0,1240,"Gd",1632,0,0,1632,1,0,2,0,3,"TA","Min1","Attchd",1,"TA","Y",289,0,0,0,0,"NA",0,4,"Normal",13.9,0,0
636,20,66,12400,"NA","IR1","Lvl","1Story",6,7,1958,176,"TA",0,630,1215,"TA",1215,0,0,1215,0,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,0,0,0,234,"NA",0,6,"Normal",15.5,0,0
637,20,70,8750,"NA","Reg","Lvl","1Story",5,5,1956,0,"TA",202,565,1202,"TA",1202,0,0,1202,0,1,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,35,120,0,0,"NA",0,11,"Abnorml",12,0,0
639,20,80,10400,"NA","Reg","Lvl","1Story",4,5,1956,0,"TA",750,295,1200,"TA",1200,0,0,1200,1,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,189,140,0,0,"NA",0,11,"Family",14.4,0,0
641,20,74,8532,"NA","Reg","Lvl","1Story",5,6,1954,650,"TA",0,84,1297,"Gd",1297,0,0,1297,0,1,1,0,3,"TA","Typ","Attchd",2,"TA","Y",0,0,0,0,0,"NA",0,10,"Normal",15.3,0,0
642,90,76,9482,"NA","Reg","Lvl","1Story",5,4,1958,657,"TA",0,1866,1866,"Ex",1866,0,0,1866,0,0,2,0,4,"TA","Typ","Detchd",2,"Fa","Y",0,0,0,0,0,"NA",0,12,"Normal",13.5,0,0
643,20,53,8128,"NA","IR1","Lvl","1Story",6,7,1954,80,"TA",0,572,1062,"Gd",1062,0,0,1062,1,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,0,0,0,0,"NA",0,2,"Normal",13.1,0,0
644,20,79,10634,"NA","Reg","Lvl","1Story",5,6,1953,0,"TA",180,0,608,"TA",1319,0,0,1319,1,0,1,0,3,"TA","Min2","Attchd",1,"TA","Y",66,0,0,0,0,"NA",0,11,"Normal",12.3,0,0
646,20,60,10434,"NA","Reg","Lvl","1Story",4,5,1955,0,"TA",0,1005,1005,"TA",1005,0,0,1005,0,0,1,0,2,"Fa","Typ","Detchd",2,"Fa","Y",0,0,0,0,0,"NA",0,11,"Normal",11.5,0,0
647,20,75,14559,"NA","Reg","Lvl","1Story",5,7,1951,70,"TA",180,178,1008,"Ex",1363,0,0,1363,1,0,1,0,2,"TA","Min1","CarPort",1,"TA","Y",324,42,0,0,168,"Shed",2000,6,"Normal",16.49,0,0
648,30,80,8480,"NA","Reg","Lvl","1Story",5,6,1945,0,"Gd",0,93,793,"TA",793,0,0,793,1,0,1,0,2,"Fa","Typ","Detchd",1,"TA","Y",0,0,0,0,0,"NA",0,8,"Normal",11.3,0,0
650,20,75,9533,"NA","Reg","Lvl","1Story",5,5,1953,140,"TA",0,0,0,"TA",1210,0,0,1210,0,0,1,1,2,"TA","Typ","Attchd",1,"TA","Y",208,0,100,0,0,"NA",0,8,"Normal",10.29,0,0
651,190,107,10615,"NA","IR1","Bnk","2Story",3,5,1900,0,"TA",0,538,978,"TA",1014,685,0,1699,1,0,2,0,3,"TA","Typ","CarPort",2,"Fa","Y",0,74,0,0,0,"NA",0,8,"Abnorml",9.5,0,0
652,60,78,11419,"NA","Reg","Lvl","2Story",7,7,1948,0,"TA",0,0,699,"Ex",801,726,0,1527,1,0,1,1,3,"TA","Typ","Attchd",2,"TA","Y",0,0,134,0,0,"NA",0,12,"Normal",15.25,0,0
653,20,60,9600,"NA","Reg","Lvl","1Story",5,6,1950,0,"TA",0,810,1200,"TA",1200,0,0,1200,0,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",126,0,0,0,0,"NA",0,8,"Normal",12.99,0,0
654,20,50,8000,"NA","Reg","Lvl","1Story",6,6,1948,0,"Gd",0,292,972,"Ex",972,0,0,972,1,0,1,0,2,"TA","Typ","Detchd",1,"TA","Y",0,0,0,0,0,"NA",0,5,"Normal",13.2,0,0
655,20,53,5470,"NA","Reg","Lvl","1Story",3,5,1958,0,"TA",0,792,792,"Gd",792,0,0,792,0,0,1,0,2,"TA","Typ","Attchd",1,"TA","Y",0,90,0,0,0,"NA",0,8,"Normal",9.99,0,0
656,50,60,10410,"NA","Reg","Lvl","1.5Fin",5,7,1916,0,"TA",0,660,660,"Ex",808,704,144,1656,0,0,2,1,3,"TA","Min2","Detchd",1,"Fa","N",0,0,0,140,0,"NA",0,8,"Normal",13.5,0,0
657,60,60,10800,"NA","Reg","Lvl","2Story",5,7,1939,0,"Gd",0,676,676,"Ex",676,676,0,1352,0,1,2,0,4,"Gd","Typ","Detchd",2,"TA","Y",187,0,128,0,0,"NA",0,8,"Normal",14.9,0,0
658,70,80,8146,"NA","Reg","Lvl","2Story",4,8,1900,0,"Gd",0,405,405,"Gd",717,322,0,1039,0,0,1,0,2,"TA","Typ","Detchd",1,"TA","N",0,0,168,0,111,"NA",0,5,"Normal",11.4,0,0
660,30,60,10230,"Grvl","Reg","Lvl","1Story",5,7,1925,0,"TA",0,1054,1054,"Ex",1078,0,0,1078,0,0,1,0,3,"Ex","Typ","Detchd",1,"TA","N",0,0,0,0,112,"NA",0,12,"Normal",12.5,0,0
661,50,60,10410,"Grvl","Reg","Lvl","1.5Fin",4,5,1915,0,"TA",0,1313,1313,"TA",1313,0,1064,2377,0,0,2,0,3,"Gd","Min2","Detchd",2,"TA","Y",0,0,432,0,0,"NA",0,6,"Normal",14.29,0,0
662,70,60,7200,"NA","Reg","Lvl","2Story",7,9,1910,0,"Gd",0,560,560,"Ex",930,760,0,1690,0,0,2,0,4,"Gd","Typ","Detchd",2,"TA","Y",0,0,112,0,0,"NA",0,8,"Normal",15.65,0,0
663,30,90,5400,"NA","Reg","Lvl","1Story",2,5,1940,0,"TA",0,416,416,"Gd",599,0,0,599,1,0,1,0,2,"Gd","Typ","NA",0,"NA","N",0,81,0,0,0,"NA",0,6,"Normal",5.9,0,0
665,30,60,10800,"Grvl","Reg","Lvl","1Story",5,7,1920,0,"TA",0,720,720,"TA",846,0,0,846,0,0,1,0,2,"Gd","Typ","Detchd",2,"TA","N",0,0,0,0,0,"NA",0,6,"Normal",10.6,0,0
666,30,60,10800,"Grvl","Reg","Lvl","1Story",3,5,1890,0,"TA",0,630,630,"TA",725,0,0,725,0,0,1,1,1,"TA","Typ","Detchd",1,"TA","Y",0,30,0,0,0,"NA",0,11,"Normal",7.85,0,0
667,90,81,9671,"NA","Reg","Lvl","2Story",6,5,1969,480,"TA",0,1248,1248,"TA",1248,1296,0,2544,0,0,2,2,6,"TA","Typ","Attchd",3,"TA","Y",0,0,0,0,0,"NA",0,8,"Normal",19,0,0
668,20,83,10143,"NA","Reg","Lvl","1Story",6,7,1963,295,"TA",0,996,1380,"Fa",1380,0,0,1380,0,0,1,1,3,"TA","Typ","Attchd",1,"TA","Y",0,0,0,0,216,"NA",0,6,"Normal",15.4,0,0
669,20,77,11500,"NA","IR1","Lvl","1Story",6,4,1967,0,"TA",60,108,1040,"Gd",1040,0,0,1040,1,0,1,0,3,"TA","Min1","Attchd",2,"TA","Y",0,0,156,0,0,"NA",0,5,"Normal",16.3,0,0
671,20,62,8010,"NA","Reg","Lvl","1Story",6,9,1958,0,"Gd",0,206,951,"Gd",951,0,0,951,1,0,1,0,2,"Gd","Typ","Detchd",2,"TA","Y",0,0,42,0,0,"Shed",450,9,"Normal",14.35,0,0
672,20,90,10454,"NA","IR1","Lvl","1Story",6,6,1957,143,"TA",0,559,1105,"Gd",1105,0,0,1105,0,0,1,0,3,"TA","Typ","Detchd",1,"TA","Y",0,0,0,0,0,"NA",0,4,"Normal",13.5,0,0
674,20,0,17600,"NA","IR1","Lvl","1Story",6,5,1960,30,"TA",0,208,1478,"Ex",1478,0,0,1478,1,0,2,0,3,"TA","Typ","Attchd",2,"TA","Y",0,40,0,0,0,"NA",0,12,"Normal",15.75,1,0
677,90,60,8544,"NA","Reg","Lvl","1Story",3,4,1950,0,"TA",0,0,0,"Fa",1040,0,0,1040,0,0,2,0,2,"TA","Typ","Detchd",2,"TA","Y",0,0,0,0,0,"NA",0,6,"Normal",9.29,0,0
678,50,60,8064,"NA","Reg","Lvl","1.5Fin",6,5,1950,0,"TA",0,174,795,"Gd",765,368,0,1133,0,0,1,0,3,"TA","Typ","Detchd",2,"TA","Y",0,0,0,0,231,"NA",0,12,"Abnorml",12.85,0,0
680,50,60,7200,"NA","Reg","Lvl","1.5Fin",5,4,1950,0,"TA",352,676,1208,"Gd",1136,768,0,1904,1,0,1,1,3,"TA","Min1","Attchd",1,"TA","Y",0,0,168,0,0,"NA",0,5,"Normal",13.8,0,0
681,20,71,7350,"NA","Reg","Lvl","1Story",5,6,1958,0,"TA",0,1041,1041,"Gd",1041,0,0,1041,0,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,0,0,0,0,"NA",0,3,"Normal",12.8,0,0
682,20,70,7560,"NA","Reg","Lvl","1Story",5,6,1958,0,"TA",0,525,1029,"TA",1339,0,0,1339,0,0,1,0,3,"TA","Min1","Attchd",1,"TA","Y",0,0,0,0,0,"NA",0,5,"Abnorml",13.9,0,0
683,20,60,7200,"NA","Reg","Lvl","1Story",5,7,1952,0,"Gd",102,0,732,"TA",732,0,0,732,1,0,1,0,2,"TA","Typ","Detchd",1,"TA","Y",0,68,0,0,0,"NA",0,9,"Normal",11.89,0,0
684,80,80,8000,"NA","Reg","Lvl","SLvl",5,5,1959,0,"TA",95,0,528,"TA",1183,0,0,1183,1,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,0,0,0,0,"NA",0,7,"Normal",13.8,0,0
686,50,60,10800,"NA","Reg","Lvl","1.5Fin",4,7,1949,0,"TA",0,832,832,"TA",832,629,0,1461,0,0,2,0,4,"TA","Typ","Detchd",1,"TA","Y",0,204,0,0,0,"NA",0,8,"Normal",13.35,0,0
688,60,76,7570,"NA","Reg","Lvl","2Story",6,5,1964,420,"TA",0,780,780,"TA",993,813,0,1806,0,0,1,1,4,"TA","Typ","Attchd",2,"TA","Y",0,55,0,0,0,"NA",0,3,"Normal",14.475,0,0
689,90,75,8604,"NA","IR1","Lvl","SFoyer",5,7,1978,124,"Gd",0,0,941,"Gd",941,0,0,941,1,0,1,0,2,"Gd","Typ","Attchd",2,"TA","Y",0,40,0,0,0,"NA",0,11,"Normal",14.5,0,0
691,20,60,6600,"NA","Reg","Lvl","1Story",5,5,1962,0,"TA",0,894,894,"Gd",894,0,0,894,0,0,1,0,2,"TA","Typ","Detchd",1,"TA","Y",0,0,0,0,0,"NA",0,8,"Normal",10.95,0,0
693,50,60,10440,"Grvl","Reg","Lvl","2Story",5,6,1910,0,"TA",0,440,440,"Gd",682,548,0,1230,0,0,1,1,2,"TA","Typ","Detchd",2,"TA","Y",74,0,128,0,0,"NA",0,5,"Normal",11,0,0
695,90,57,10307,"Grvl","Reg","Lvl","2Story",6,5,1910,0,"TA",0,339,972,"Gd",972,972,0,1944,1,0,2,0,4,"TA","Typ","Detchd",2,"TA","N",0,28,169,0,0,"NA",0,6,"Normal",10.35,0,0
696,50,52,5720,"NA","Reg","Lvl","1.5Fin",5,6,1941,0,"TA",0,676,676,"Ex",676,455,0,1131,0,0,1,1,3,"TA","Typ","Detchd",1,"TA","Y",26,0,0,0,0,"NA",0,8,"Abnorml",6.65,0,0
698,70,90,9900,"NA","Reg","Lvl","2Story",5,8,1910,0,"TA",0,504,504,"Ex",764,700,0,1464,0,0,2,0,3,"TA","Typ","NA",0,"NA","N",0,0,176,0,0,"NA",0,3,"Normal",12.9,0,0
703,60,60,3378,"Grvl","Reg","HLS","2Story",7,8,1946,0,"Gd",0,651,651,"Gd",707,682,0,1389,0,0,1,1,3,"TA","Typ","Detchd",1,"TA","P",0,0,126,0,0,"NA",0,9,"Normal",13.5,0,0
704,50,56,10134,"Grvl","Reg","Lvl","1.5Fin",5,5,1910,0,"TA",0,801,801,"Gd",801,646,0,1447,0,0,1,0,3,"TA","Typ","NA",0,"NA","N",80,0,244,0,0,"NA",0,7,"Normal",10.3,0,0
706,50,50,6000,"NA","Reg","Lvl","1.5Fin",5,7,1950,0,"Ex",0,384,768,"TA",768,560,0,1328,0,0,1,1,3,"TA","Typ","Detchd",1,"TA","Y",0,12,0,0,0,"NA",0,3,"Normal",12.95,0,0
707,190,50,6000,"NA","Reg","Lvl","1.5Fin",5,4,1954,0,"TA",0,811,811,"TA",811,576,0,1387,0,0,2,0,3,"Gd","Typ","BuiltIn",1,"TA","Y",0,0,0,0,0,"NA",0,11,"Normal",9.3,0,0
708,30,62,7404,"NA","Reg","Lvl","1Story",4,6,1920,0,"TA",0,861,861,"TA",861,0,0,861,0,0,1,0,2,"TA","Typ","Detchd",2,"TA","N",0,0,128,0,0,"NA",0,11,"Normal",8,0,0
709,30,50,5925,"NA","Reg","Lvl","1Story",2,4,1940,0,"Gd",0,0,0,"Fa",612,0,0,612,0,0,1,0,1,"TA","Typ","Detchd",1,"Fa","N",0,0,25,0,0,"NA",0,10,"Normal",4.5,0,0
710,50,50,5925,"NA","Reg","Lvl","1.5Fin",3,6,1910,0,"TA",0,600,600,"Fa",600,368,0,968,0,0,1,0,2,"TA","Typ","NA",0,"NA","Y",0,0,0,0,0,"NA",0,5,"Abnorml",3.79,0,0
711,30,50,5784,"NA","Reg","Lvl","1Story",5,8,1938,0,"TA",0,190,190,"Gd",886,0,0,886,0,0,1,0,2,"TA","Typ","Attchd",1,"TA","Y",144,20,80,0,0,"NA",0,12,"Normal",9.13,0,0
712,30,60,8520,"NA","Reg","Lvl","1Story",5,8,1923,0,"TA",0,624,624,"TA",792,0,0,792,0,0,1,0,2,"TA","Typ","Detchd",1,"TA","Y",0,0,81,0,0,"NA",0,2,"Normal",9.95,0,0
714,70,60,9600,"NA","Reg","Lvl","2Story",4,4,1910,0,"Gd",0,677,677,"TA",833,677,0,1510,0,0,2,0,3,"Gd","Typ","Detchd",2,"TA","N",0,0,160,0,0,"NA",0,6,"Normal",8.75,0,0
716,75,90,8100,"NA","Reg","Lvl","2.5Unf",5,5,1898,0,"TA",0,849,849,"TA",1075,1063,0,2138,0,0,2,0,2,"TA","Typ","Detchd",2,"Po","N",40,156,0,0,0,"NA",0,11,"Normal",10.6,0,0
717,70,65,11700,"Pave","IR1","Lvl","2Story",7,7,1880,0,"TA",0,1240,1240,"TA",1320,1320,0,2640,0,0,1,1,4,"Gd","Typ","Detchd",4,"TA","N",181,0,386,0,0,"NA",0,5,"Normal",26.5979,0,0
718,70,70,8400,"NA","Reg","Lvl","2Story",6,7,1900,0,"TA",0,917,917,"Gd",1090,917,0,2007,0,0,2,0,3,"Ex","Typ","Detchd",1,"TA","Y",0,235,0,0,0,"NA",0,6,"Normal",16,0,0
719,70,60,3600,"Grvl","Reg","Lvl","2Story",6,7,1917,0,"TA",0,624,624,"Ex",664,624,0,1288,1,0,1,0,3,"Ex","Typ","Attchd",1,"TA","N",0,103,0,0,0,"NA",0,5,"Normal",11.9,0,0
721,30,0,3300,"NA","Reg","Lvl","1Story",4,3,1910,0,"TA",0,624,624,"Ex",816,0,0,816,0,0,1,0,2,"TA","Typ","NA",0,"NA","N",0,33,0,0,0,"NA",0,6,"Normal",5.85,1,0
722,70,50,9000,"NA","Reg","Lvl","2Story",7,9,1920,0,"Gd",0,26,650,"Ex",832,650,0,1482,0,1,1,0,3,"TA","Typ","Detchd",2,"TA","Y",0,0,0,0,0,"NA",0,7,"Normal",14.3,0,0
723,30,60,7200,"NA","Reg","Lvl","1Story",5,4,1910,0,"TA",465,310,1022,"TA",1022,0,0,1022,1,0,1,0,2,"TA","Maj2","Detchd",1,"TA","Y",0,30,226,0,0,"NA",0,6,"Normal",8.5,0,0
725,50,60,5400,"NA","Reg","Lvl","1.5Fin",6,6,1920,0,"TA",0,972,972,"Ex",1044,0,436,1480,0,0,1,0,3,"TA","Typ","Detchd",1,"TA","Y",0,0,176,0,0,"NA",0,9,"Family",11.9,0,0
726,70,60,9720,"Grvl","Reg","Lvl","2Story",6,7,1910,0,"TA",0,741,741,"Ex",780,741,0,1521,0,0,1,0,4,"Gd","Typ","Detchd",3,"TA","Y",0,0,238,0,0,"NA",0,9,"Normal",14.65,0,0
727,30,60,7879,"NA","Reg","Lvl","1Story",4,5,1920,0,"TA",0,225,720,"TA",720,0,0,720,0,0,1,0,2,"TA","Typ","NA",0,"NA","N",0,523,115,0,0,"NA",0,11,"Abnorml",3.49,0,0
728,30,72,9392,"NA","Reg","Lvl","1Story",3,3,1900,0,"Fa",0,245,245,"TA",797,0,0,797,0,0,1,0,2,"TA","Typ","NA",0,"NA","N",0,36,94,0,0,"NA",0,9,"Abnorml",4.4,0,0
729,70,144,21384,"NA","Reg","Lvl","2Story",5,6,1923,0,"TA",0,15,1324,"Ex",1072,504,0,1576,2,0,1,1,3,"Gd","Typ","Attchd",2,"TA","Y",0,312,0,0,0,"NA",0,5,"Normal",22.35,0,0
730,30,0,6615,"NA","Reg","Lvl","1Story",6,6,1923,0,"TA",0,1022,1022,"TA",1432,0,0,1432,0,0,1,0,3,"Gd","Typ","BuiltIn",1,"TA","Y",266,61,0,0,0,"NA",0,9,"Normal",14.9,1,0
731,50,55,7264,"NA","Reg","Lvl","1.5Fin",7,7,1925,0,"Gd",0,952,952,"Gd",952,596,0,1548,0,0,2,1,3,"Ex","Typ","Detchd",2,"TA","Y",74,0,0,0,144,"NA",0,10,"Normal",20.5,0,0
733,30,0,8854,"NA","Reg","Lvl","1.5Unf",6,6,1916,0,"TA",0,952,952,"Fa",952,0,0,952,0,0,1,0,2,"Fa","Typ","Detchd",1,"Po","P",0,98,0,0,40,"NA",0,5,"Normal",12.1,1,0
734,50,50,6000,"NA","Reg","Lvl","1.5Fin",4,6,1936,0,"TA",0,0,672,"TA",757,567,0,1324,0,0,1,0,3,"TA","Typ","Detchd",1,"TA","Y",0,0,0,0,0,"NA",0,7,"Normal",12.8,0,0
735,50,50,6000,"NA","Reg","Lvl","1.5Fin",6,9,1937,0,"TA",0,698,698,"TA",786,390,0,1176,0,0,1,0,2,"TA","Typ","Detchd",2,"TA","N",210,0,0,0,0,"NA",0,7,"Normal",13.49,0,0
736,50,50,6000,"NA","Reg","Lvl","1.5Fin",5,8,1925,0,"TA",0,884,884,"Ex",884,464,0,1348,1,0,1,0,3,"TA","Typ","Detchd",1,"TA","N",0,0,208,0,0,"NA",0,5,"Normal",11.7,0,0
737,50,50,6000,"NA","Reg","Lvl","1.5Fin",6,6,1939,0,"Fa",0,780,780,"Ex",825,587,0,1412,0,0,1,0,4,"TA","Typ","Detchd",1,"TA","Y",45,0,0,0,0,"NA",0,5,"Normal",13.25,0,0
738,50,60,6000,"NA","Reg","Lvl","1.5Fin",5,5,1924,444,"TA",0,248,468,"Gd",822,320,0,1142,0,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,0,98,0,0,"NA",0,6,"Normal",9.3,0,0
740,30,60,6911,"NA","Reg","Lvl","1Story",5,5,1924,0,"TA",0,740,1145,"TA",1301,0,0,1301,0,0,1,0,2,"Fa","Min1","Detchd",2,"TA","Y",0,0,0,0,0,"NA",0,10,"Normal",10,0,0
742,50,51,6120,"NA","Reg","Lvl","1.5Fin",4,7,1935,0,"TA",0,884,884,"Ex",989,584,0,1573,0,0,1,0,3,"Gd","Typ","Detchd",1,"TA","Y",0,0,54,0,120,"NA",0,7,"Normal",13.3,0,0
743,30,51,6120,"NA","Reg","Lvl","1Story",2,3,1936,0,"Fa",0,264,264,"Fa",800,0,0,800,0,0,1,0,1,"Fa","Maj1","NA",0,"NA","N",0,0,0,0,0,"NA",0,1,"Normal",6,0,0
744,30,51,6120,"NA","Reg","Lvl","1Story",5,7,1931,0,"TA",0,506,715,"TA",875,0,0,875,1,0,1,0,2,"TA","Typ","Detchd",1,"TA","Y",48,0,0,0,0,"NA",0,11,"Normal",10.5,0,0
745,30,51,6120,"NA","Reg","Lvl","1Story",5,6,1925,0,"TA",0,960,960,"Gd",995,0,0,995,0,0,1,0,2,"TA","Typ","Detchd",1,"TA","Y",0,15,51,0,0,"NA",0,3,"Abnorml",11.5,0,0
746,50,51,6120,"NA","Reg","Lvl","1.5Fin",5,6,1938,0,"TA",0,679,952,"TA",994,588,0,1582,0,0,2,0,3,"TA","Typ","Detchd",1,"TA","Y",189,0,34,150,0,"NA",0,2,"Normal",15,0,0
747,30,50,8635,"NA","Reg","Lvl","1Story",5,5,1925,0,"Fa",0,938,1072,"TA",1072,0,0,1072,1,0,1,0,2,"TA","Typ","Detchd",5,"TA","P",0,0,105,0,0,"NA",0,8,"Normal",12.65,0,0
748,75,0,11888,"Pave","IR1","Bnk","2.5Unf",6,6,1916,0,"TA",0,844,844,"Gd",1445,689,0,2134,0,0,2,0,5,"Gd","Typ","Detchd",2,"TA","Y",0,60,268,0,0,"NA",0,7,"Normal",21.45,1,0
749,70,60,11414,"NA","IR1","Lvl","2Story",7,8,1910,0,"Gd",0,728,728,"TA",1136,883,0,2019,0,0,1,0,3,"Gd","Typ","Detchd",2,"TA","Y",509,135,0,0,0,"NA",0,10,"Normal",16.75,0,0
750,70,57,8094,"Grvl","Reg","Lvl","2Story",6,6,1915,0,"TA",0,1048,1048,"Gd",1048,720,0,1768,0,0,2,0,3,"TA","Typ","Detchd",2,"Fa","Y",0,0,150,0,0,"NA",0,6,"Normal",15.5,0,0
753,75,92,5520,"NA","Reg","Lvl","2.5Fin",6,6,1912,0,"TA",0,755,755,"Ex",929,929,371,2229,0,0,1,0,5,"TA","Typ","NA",0,"NA","Y",0,198,30,0,0,"NA",0,7,"Abnorml",10.4,0,0
754,90,50,3000,"Grvl","Reg","Bnk","2Story",5,1,1922,0,"TA",0,1040,1040,"TA",1088,1040,0,2128,0,0,2,0,4,"TA","Sev","NA",0,"NA","Y",0,56,0,0,0,"NA",0,9,"Abnorml",6.25,0,0
755,70,57,6876,"NA","Reg","Lvl","2Story",6,5,1927,0,"TA",0,198,720,"Fa",1146,784,0,1930,1,0,2,0,4,"TA","Typ","Attchd",1,"TA","Y",0,0,213,0,0,"NA",0,8,"Normal",14.9,0,0
756,30,52,6240,"Grvl","Reg","Lvl","1.5Fin",4,5,1925,0,"TA",0,628,780,"TA",848,0,360,1208,0,0,1,0,2,"TA","Typ","Detchd",2,"TA","Y",0,23,112,0,0,"NA",0,1,"Normal",10.3,0,0
759,50,60,5160,"NA","Reg","Lvl","1.5Fin",6,6,1927,0,"Fa",0,1204,1204,"TA",1204,462,0,1666,0,0,1,0,3,"TA","Typ","Detchd",1,"TA","Y",0,0,148,0,0,"NA",0,8,"Normal",13.5,0,0
761,190,60,10320,"Grvl","Reg","Bnk","2Story",6,7,1915,0,"Gd",262,160,698,"Ex",754,649,0,1403,1,0,1,1,3,"TA","Typ","Detchd",1,"TA","Y",0,0,288,0,0,"NA",0,2,"Normal",11.6,0,0
763,90,60,10800,"NA","Reg","Lvl","1Story",5,5,1987,0,"TA",0,0,1200,"TA",1200,0,0,1200,3,0,3,0,3,"TA","Typ","NA",0,"NA","Y",120,0,0,0,0,"NA",0,3,"Alloca",17.9,0,0
764,90,60,10800,"NA","Reg","Lvl","1Story",5,5,1987,0,"Gd",0,0,1200,"TA",1200,0,0,1200,3,0,3,0,3,"TA","Typ","NA",0,"NA","Y",120,0,0,0,0,"NA",0,3,"Alloca",17.9,0,0
765,90,0,10547,"NA","IR1","Lvl","SFoyer",5,5,1978,0,"TA",0,0,1152,"TA",1152,0,0,1152,2,0,2,0,2,"TA","Typ","Detchd",1,"Fa","N",0,0,0,0,0,"NA",0,7,"Normal",15.99,1,0
767,70,54,6629,"NA","Reg","Lvl","2Story",6,6,1925,0,"Gd",0,121,672,"TA",697,672,0,1369,1,0,2,0,3,"TA","Typ","Detchd",1,"TA","Y",147,0,0,0,0,"NA",0,7,"Normal",10.36,0,0
768,50,60,9780,"NA","Reg","Lvl","1.5Fin",5,3,1934,0,"TA",0,585,585,"TA",687,425,0,1112,1,0,2,0,4,"TA","Typ","Detchd",1,"Po","N",0,0,0,0,0,"NA",0,3,"Normal",6.3,0,0
769,80,70,12886,"NA","IR1","Lvl","SLvl",5,6,1963,0,"TA",0,76,520,"Ex",1464,0,0,1464,0,1,2,0,3,"TA","Min2","Attchd",2,"TA","Y",302,0,0,0,100,"NA",0,10,"Normal",17.5,0,0
770,20,80,8816,"NA","Reg","Lvl","1Story",5,6,1963,0,"TA",0,470,1121,"TA",1121,0,0,1121,1,0,1,0,3,"TA","Typ","Detchd",2,"TA","Y",0,80,0,0,0,"NA",0,6,"Normal",13.9,0,0
771,60,70,11184,"NA","Reg","Lvl","2Story",6,5,1978,92,"TA",500,192,918,"Gd",918,765,0,1683,0,0,2,1,3,"TA","Typ","Attchd",2,"TA","Y",243,0,0,0,0,"NA",0,7,"Normal",17.25,0,0
775,85,0,7252,"NA","IR1","Lvl","SFoyer",5,5,1982,0,"TA",0,173,858,"TA",858,0,0,858,1,0,1,0,2,"TA","Typ","Detchd",2,"TA","Y",120,0,0,0,0,"NA",0,4,"Normal",13.49,1,0
776,85,74,8740,"NA","IR1","Lvl","SFoyer",5,6,1982,0,"TA",0,168,840,"TA",860,0,0,860,1,0,1,0,2,"TA","Typ","Detchd",2,"TA","Y",0,0,0,0,0,"NA",0,7,"Normal",13.7,0,0
777,20,0,11616,"NA","Reg","Lvl","1Story",5,5,1962,116,"TA",670,252,1092,"TA",1092,0,0,1092,0,1,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,20,144,0,0,"NA",0,9,"Normal",13.9,1,0
778,80,88,15400,"NA","Reg","Lvl","SLvl",5,5,1961,0,"TA",0,552,552,"TA",904,611,259,1774,0,0,2,0,4,"TA","Typ","Attchd",1,"TA","Y",290,40,0,0,0,"NA",0,7,"Normal",16.5,0,0
779,80,88,15312,"NA","Reg","Lvl","SLvl",6,5,1960,54,"TA",0,550,1138,"Ex",1138,0,0,1138,0,1,1,0,3,"TA","Typ","Attchd",2,"TA","Y",0,0,0,0,140,"NA",0,3,"Normal",14.8,0,0
780,80,0,15584,"NA","Reg","Lvl","SLvl",5,5,1956,366,"TA",0,825,825,"Ex",2071,0,0,2071,0,1,1,1,4,"TA","Typ","Attchd",1,"TA","Y",131,28,0,0,0,"NA",0,10,"Normal",16.5,1,0
781,20,0,9000,"NA","Reg","Lvl","1Story",2,2,1947,0,"TA",0,0,0,"Fa",660,0,0,660,0,0,1,0,2,"Fa","Min2","NA",0,"NA","N",0,0,100,0,0,"NA",0,6,"Normal",6.39,1,0
